"","国内株式","国内債券","外国株式","外国債券"
"国内株式",1,-0.31574790564363,0.875495328528013,0.241378261680658
"国内債券",-0.31574790564363,1,-0.201955205576978,-0.152899120766901
"外国株式",0.875495328528013,-0.201955205576978,1,0.205492958823444
"外国債券",0.241378261680658,-0.152899120766901,0.205492958823444,1
