"","国内株式","国内債券","外国株式","外国債券"
"国内株式",1,-0.289675840436443,0.433946648188873,-0.264298348272043
"国内債券",-0.289675840436443,1,0.00524475762462978,0.142096773620322
"外国株式",0.433946648188873,0.00524475762462978,1,-0.0327702242322622
"外国債券",-0.264298348272043,0.142096773620322,-0.0327702242322622,1
