"","国内株式","国内債券","外国株式","外国債券"
"国内株式",1,-0.320867060221177,0.608921897036383,0.0599743592864535
"国内債券",-0.320867060221177,1,-0.104702997477744,0.0584681336834062
"外国株式",0.608921897036383,-0.104702997477744,1,0.0803557256567247
"外国債券",0.0599743592864535,0.0584681336834062,0.0803557256567247,1
