"","国内株式","国内債券","外国株式","外国債券"
"国内株式",1,-0.351030758041724,0.539412323969835,0.0803745006316935
"国内債券",-0.351030758041724,1,-0.129235431861525,0.140484139127486
"外国株式",0.539412323969835,-0.129235431861525,1,0.0114543194962756
"外国債券",0.0803745006316935,0.140484139127486,0.0114543194962756,1
